t	u	i	iav	a	b	poo
0	0	0.129	NAN	0	NAN	
0.002	0	0.1455	NAN	0	NAN	
0.004	0	0.15405	0.13983	0	NAN	
0.006	0	0.14235	NAN	0	NAN	
0.008	0	0.12825	NAN	0	NAN	
0.01	0	0.12915	NAN	0	NAN	
0.012	0.005	0.14475	NAN	NAN	NAN	
0.014	0.005	0.1542	0.13974	-0.0006987	NAN	
0.016	0.005	0.1425	NAN	NAN	NAN	
0.018	0.005	0.1281	NAN	NAN	NAN	
0.02	0.005	0.1293	NAN	NAN	NAN	
0.022	0.01	0.1449	NAN	NAN	NAN	
0.024	0.01	0.15375	0.13968	-0.0013968	NAN	
0.026	0.01	0.1428	NAN	NAN	NAN	
0.028	0.01	0.12765	NAN	NAN	NAN	
0.03	0.01	0.1293	NAN	NAN	NAN	
0.032	0.01	0.1452	NAN	NAN	NAN	
0.034	0.015	0.15375	0.13974	-0.0020961	NAN	
0.036	0.015	0.14265	NAN	NAN	NAN	
0.038	0.015	0.1278	NAN	NAN	NAN	
0.04	0.015	0.12885	NAN	NAN	NAN	
0.042	0.015	0.1452	NAN	NAN	NAN	
0.044	0.02	0.15345	0.13968	-0.0027936	NAN	
0.046	0.02	0.1428	NAN	NAN	NAN	
0.048	0.02	0.1281	NAN	NAN	NAN	
0.05	0.02	0.1287	NAN	NAN	NAN	
0.052	0.02	0.1452	NAN	NAN	NAN	
0.054	0.02	0.15345	0.13959	-0.0027918	NAN	
0.056	0.025	0.14235	NAN	NAN	NAN	
0.058	0.025	0.12825	NAN	NAN	NAN	
0.06	0.025	0.1287	NAN	NAN	NAN	
0.062	0.025	0.14505	NAN	NAN	NAN	
0.064	0.025	0.1539	0.13959	-0.00348975	NAN	
0.066	0.03	0.1422	NAN	NAN	NAN	
0.068	0.03	0.1281	NAN	NAN	NAN	
0.07	0.03	0.129	NAN	NAN	NAN	
0.072	0.03	0.1446	NAN	NAN	NAN	
0.074	0.03	0.1539	0.13956	-0.0041868	NAN	
0.076	0.03	0.1425	NAN	NAN	NAN	
0.078	0.035	0.1278	NAN	NAN	NAN	
0.08	0.035	0.129	NAN	NAN	NAN	
0.082	0.035	0.1446	NAN	NAN	NAN	
0.084	0.035	0.15375	0.13959	-0.00488565	NAN	
0.086	0.035	0.14295	NAN	NAN	NAN	
0.088	0.04	0.12765	NAN	NAN	NAN	
0.09	0.04	0.12915	NAN	NAN	NAN	
0.092	0.04	0.1449	NAN	NAN	NAN	
0.094	0.04	0.1539	0.13968	-0.0055872	NAN	
0.096	0.04	0.1428	NAN	NAN	NAN	
0.098	0.04	0.12765	NAN	NAN	NAN	
0.1	0.045	0.12885	NAN	NAN	NAN	
0.102	0.045	0.1449	NAN	NAN	NAN	
0.104	0.045	0.1533	0.13953	-0.00627885	NAN	
0.106	0.045	0.14265	NAN	NAN	NAN	
0.108	0.045	0.12795	NAN	NAN	NAN	
0.11	0.05	0.12855	NAN	NAN	NAN	
0.112	0.05	0.14475	NAN	NAN	NAN	
0.114	0.05	0.15375	0.13953	-0.0069765	NAN	
0.116	0.05	0.14235	NAN	NAN	NAN	
0.118	0.05	0.12825	NAN	NAN	NAN	
0.12	0.05	0.1287	NAN	NAN	NAN	
0.122	0.055	0.1449	NAN	NAN	NAN	
0.124	0.055	0.1539	0.13959	-0.00767745	NAN	
0.126	0.055	0.14235	NAN	NAN	NAN	
0.128	0.055	0.1281	NAN	NAN	NAN	
0.13	0.055	0.129	NAN	NAN	NAN	
0.132	0.06	0.14445	NAN	NAN	NAN	
0.134	0.06	0.15405	0.13959	-0.0083754	NAN	
0.136	0.06	0.14235	NAN	NAN	NAN	
