MIN=0	-1	-0,3	-0,3	0	
MAX=5	1	0,3	0,3	250	
SCALE=1	0,5	0,1	0,1	100	
DEC=3	3	4	4	1	
DEF="Time" t / s	"Voltage" U_1 / V	"Current" I_1 / A	"Iav" Iav / A	"Frequency" f / Hz	
0	0	0,14235	NAN	NAN	
0,002	0	0,16095	NAN	NAN	
0,004	0	0,1629	0,14979	NAN	
0,006	0	0,1467	NAN	NAN	
0,008	0	0,13605	NAN	NAN	
0,01	0	0,14235	NAN	NAN	
0,012	0,005	0,1608	NAN	NAN	
0,014	0,005	0,16275	0,14967	NAN	
0,016	0,005	0,14655	NAN	NAN	
0,018	0,005	0,1359	NAN	NAN	
0,02	0,005	0,14265	NAN	NAN	
0,022	0,01	0,1608	NAN	NAN	
0,024	0,01	0,1632	0,14982	NAN	
0,026	0,01	0,14685	NAN	NAN	
0,028	0,01	0,1356	NAN	NAN	
0,03	0,01	0,1425	NAN	NAN	
0,032	0,01	0,1608	NAN	NAN	
0,034	0,015	0,1629	0,14976	NAN	
0,036	0,015	0,1467	NAN	NAN	
0,038	0,015	0,1359	NAN	NAN	
0,04	0,015	0,14265	NAN	NAN	
0,042	0,015	0,1605	NAN	NAN	
0,044	0,02	0,1632	0,14982	NAN	
0,046	0,02	0,14685	NAN	NAN	
0,048	0,02	0,1359	NAN	NAN	
0,05	0,02	0,1431	NAN	NAN	
0,052	0,02	0,16065	NAN	NAN	
0,054	0,02	0,1632	0,14997	NAN	
0,056	0,025	0,14715	NAN	NAN	
0,058	0,025	0,13575	NAN	NAN	
0,06	0,025	0,1431	NAN	NAN	
0,062	0,025	0,1608	NAN	NAN	
0,064	0,025	0,16305	0,15003	NAN	
0,066	0,03	0,1473	NAN	NAN	
0,068	0,03	0,1359	NAN	NAN	
0,07	0,03	0,14295	NAN	NAN	
0,072	0,03	0,1605	NAN	NAN	
0,074	0,03	0,16305	0,14979	NAN	
0,076	0,03	0,14685	NAN	NAN	
0,078	0,035	0,1356	NAN	NAN	
0,08	0,035	0,14295	NAN	NAN	
0,082	0,035	0,1608	NAN	NAN	
0,084	0,035	0,16305	0,14988	NAN	
0,086	0,035	0,147	NAN	NAN	
0,088	0,04	0,1356	NAN	NAN	
0,09	0,04	0,14265	NAN	NAN	
0,092	0,04	0,1605	NAN	NAN	
0,094	0,04	0,1632	0,14988	NAN	
0,096	0,04	0,1473	NAN	NAN	
0,098	0,04	0,13575	NAN	NAN	
0,1	0,045	0,14265	NAN	NAN	
0,102	0,045	0,16035	NAN	NAN	
0,104	0,045	0,1629	0,14979	NAN	
0,106	0,045	0,1473	NAN	NAN	
0,108	0,045	0,13575	NAN	NAN	
0,11	0,05	0,1428	NAN	NAN	
0,112	0,05	0,1608	NAN	NAN	
0,114	0,05	0,1632	0,14991	NAN	
0,116	0,05	0,1473	NAN	NAN	
0,118	0,05	0,13545	NAN	NAN	
0,12	0,05	0,1428	NAN	NAN	
0,122	0,055	0,1608	NAN	NAN	
0,124	0,055	0,1629	0,14988	NAN	
0,126	0,055	0,14745	NAN	NAN	
0,128	0,055	0,13545	NAN	NAN	
0,13	0,055	0,14265	NAN	NAN	
0,132	0,06	0,16035	NAN	NAN	
0,134	0,06	0,16305	0,14976	NAN	
0,136	0,06	0,1473	NAN	NAN	
0,138	0,06	0,13545	NAN	NAN	
0,14	0,06	0,14265	NAN	NAN	
0,142	0,06	0,16065	NAN	NAN	
0,144	0,065	0,16305	0,14994	NAN	
0,146	0,065	0,1476	NAN	NAN	
0,148	0,065	0,13575	NAN	NAN	
